jaw,depth,force
-160.0,-0.0,-0.01307854666063632
-160.0,-0.0,-0.0038342768914049752
-160.0,-0.0,0.59206896133238152
-160.0,-0.0,0.61720045605306817
-160.0,-0.0,0.55871447685813358
-160.0,-0.0,0.59922595016719682
-160.0,-0.0,0.66942871847658258
-160.0,-0.0,0.58348880597014929
-160.0,-0.0,0.35064227358192313
-160.0,-0.0,0.32465045462343456
-160.0,-0.0,0.24390587469027528
-160.0,-0.0005,0.68554073279089511
-160.0,-0.0005,0.5946499894891738
-160.0,-0.0005,0.60690514525846073
-160.0,-0.0005,0.57762109223386615
-160.0,-0.0005,0.70602935112355236
-160.0,-0.0005,0.65729928201739563
-160.0,-0.0005,0.72806350413537413
-160.0,-0.0005,0.54570895522388052
-160.0,-0.0005,0.52138445702521885
-160.0,-0.0005,0.2681125621890546
-160.0,-0.0005,0.29289758106021618
-160.0,-0.001,0.60207521726101298
-160.0,-0.001,0.62235696517412931
-160.0,-0.001,0.62166752444673179
-160.0,-0.001,0.50595153360125267
-160.0,-0.001,0.62318615257048104
-160.0,-0.001,0.67980410447761197
-160.0,-0.001,0.70382462686567193
-160.0,-0.001,0.66672894895835655
-160.0,-0.001,0.62468318783441279
-160.0,-0.001,0.41697761194029848
-160.0,-0.001,0.33719423714759533
-160.0,-0.0015,0.6922887777424932
-160.0,-0.0015,0.70620065433701074
-160.0,-0.0015,0.67025720454332105
-160.0,-0.0015,0.73134328358208955
-160.0,-0.0015,0.6508233253133241
-160.0,-0.0015,0.74265754326164557
-160.0,-0.0015,0.7808926148478389
-160.0,-0.0015,0.90520278764459217
-160.0,-0.0015,0.76288868159203982
-160.0,-0.0015,0.75795162120432313
-160.0,-0.0015,0.5795934122490991
-160.0,-0.002,0.77214481390515788
-160.0,-0.002,0.93325331385032895
-160.0,-0.002,0.8985882688468485
-160.0,-0.002,0.79554576408736477
-160.0,-0.002,0.89495232172470984
-160.0,-0.002,1.1282131011608625
-160.0,-0.002,1.1284007179293405
-160.0,-0.002,0.99756426202321724
-160.0,-0.002,0.85195025438100624
-160.0,-0.002,0.83177860696517414
-160.0,-0.002,0.7274536787028677
-157.91666666666666,-0.0,0.49125714166887613
-157.91666666666666,-0.0,0.49239650802590818
-157.91666666666666,-0.0,0.41780751415337114
-157.91666666666666,-0.0,0.43268606093332096
-157.91666666666666,-0.0,0.55946828358208966
-157.91666666666666,-0.0,0.45295934122490988
-157.91666666666666,-0.0,0.44235717961914561
-157.91666666666666,-0.0,0.46437085406301826
-157.91666666666666,-0.0,0.27663407102418935
-157.91666666666666,-0.0,0.25831015600561208
-157.91666666666666,-0.0,0.24964795419896968
-157.91666666666666,-0.0005,0.54346371590324238
-157.91666666666666,-0.0005,0.47808161987266462
-157.91666666666666,-0.0005,0.57089904252323298
-157.91666666666666,-0.0005,0.58183221821924869
-157.91666666666666,-0.0005,0.47509846600331662
-157.91666666666666,-0.0005,0.47533167495854056
-157.91666666666666,-0.0005,0.44629699603249573
-157.91666666666666,-0.0005,0.43002550538447004
-157.91666666666666,-0.0005,0.35706409259644561
-157.91666666666666,-0.0005,0.30586721564590835
-157.91666666666666,-0.0005,0.26544004117344311
-157.91666666666666,-0.001,0.58293284847666693
-157.91666666666666,-0.001,0.64760845077320539
-157.91666666666666,-0.001,0.56519485903814271
-157.91666666666666,-0.001,0.5913643431733866
-157.91666666666666,-0.001,0.69081674958540629
-157.91666666666666,-0.001,0.76484763681592027
-157.91666666666666,-0.001,0.77578254560530691
-157.91666666666666,-0.001,0.71026762738033977
-157.91666666666666,-0.001,0.47912535225968061
-157.91666666666666,-0.001,0.6268086650082918
-157.91666666666666,-0.001,0.36733783910635498
-157.91666666666666,-0.0015,0.65361701948145101
-157.91666666666666,-0.0015,0.65353303413004926
-157.91666666666666,-0.0015,0.80483787956767894
-157.91666666666666,-0.0015,0.75178708036906183
-157.91666666666666,-0.0015,0.66522110193712303
-157.91666666666666,-0.0015,0.9134470054789342
-157.91666666666666,-0.0015,0.82309181938409237
-157.91666666666666,-0.0015,0.77825495165681047
-157.91666666666666,-0.0015,0.70611525704809286
-157.91666666666666,-0.0015,0.51821083262930623
-157.91666666666666,-0.0015,0.41700352404643448
-157.91666666666666,-0.002,0.77826567821202131
-157.91666666666666,-0.002,0.88924217240535586
-157.91666666666666,-0.002,0.87995367987647966
-157.91666666666666,-0.002,0.84999397728890391
-157.91666666666666,-0.002,0.94434297046237348
-157.91666666666666,-0.002,1.1307142781853445
-157.91666666666666,-0.002,0.93939103242652
-157.91666666666666,-0.002,0.94405576285240456
-157.91666666666666,-0.002,0.75658775090066899
-157.91666666666666,-0.002,0.6889861039629438
-157.91666666666666,-0.002,0.78919744637049527
-155.83333333333334,-0.0,0.38770019367034292
-155.83333333333334,-0.0,0.41518270715388572
-155.83333333333334,-0.0,0.36044776119402988
-155.83333333333334,-0.0,0.46778262446951219
-155.83333333333334,-0.0,0.39912583134995661
-155.83333333333334,-0.0,0.35026717035390431
-155.83333333333334,-0.0,0.45475864349140377
-155.83333333333334,-0.0,0.42670176105976859
-155.83333333333334,-0.0,0.32396873441649565
-155.83333333333334,-0.0,0.18903125880033789
-155.83333333333334,-0.0,0.18231757877280264
-155.83333333333334,-0.0005,0.54848679159319291
-155.83333333333334,-0.0005,0.53611604648451805
-155.83333333333334,-0.0005,0.46173443129181679
-155.83333333333334,-0.0005,0.57362326299536803
-155.83333333333334,-0.0005,0.47912335152818797
-155.83333333333334,-0.0005,0.65232607576808621
-155.83333333333334,-0.0005,0.57673700463201238
-155.83333333333334,-0.0005,0.49849807565943877
